               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027318,            0.084968,             0.14097,           0.0010811,           0.0013514,          0.00074189,          0.00074189,            0.028348,            0.083614,             0.15708,             0.00769,             0.00769,             0.00769
                  37,            0.026666,            0.088251,             0.14045,              0.1437,           0.0036216,           0.0024307,           0.0017912,            0.029025,            0.082323,             0.15726,            0.007624,            0.007624,            0.007624
                  38,            0.027394,            0.084572,             0.14123,                   0,                   0,                   0,                   0,            0.027673,            0.081269,             0.15681,            0.007558,            0.007558,            0.007558
                  39,            0.026176,            0.086203,             0.14049,           0.0013514,           0.0013514,          0.00084459,          0.00059122,            0.028652,            0.088544,             0.15693,            0.007492,            0.007492,            0.007492
                  40,            0.027751,            0.087483,             0.14105,                   0,                   0,                   0,                   0,            0.030215,            0.082637,             0.15707,            0.007426,            0.007426,            0.007426
                  41,            0.026517,            0.083509,              0.1388,                   0,                   0,                   0,                   0,             0.02923,            0.084935,             0.15747,             0.00736,             0.00736,             0.00736
                  42,            0.026951,             0.08739,             0.13933,                   0,                   0,                   0,                   0,            0.029588,            0.082221,             0.15755,            0.007294,            0.007294,            0.007294
                  43,            0.024761,             0.08218,             0.13961,                   0,                   0,                   0,                   0,            0.026832,            0.085028,             0.15763,            0.007228,            0.007228,            0.007228
                  44,            0.026592,            0.085391,             0.13907,                   0,                   0,                   0,                   0,            0.028676,            0.082978,             0.15804,            0.007162,            0.007162,            0.007162
                  45,            0.026166,            0.088197,             0.13888,                   0,                   0,                   0,                   0,            0.028808,            0.086054,             0.15822,            0.007096,            0.007096,            0.007096
                  46,            0.025984,            0.082039,             0.13968,                   0,                   0,                   0,                   0,            0.027208,            0.083764,             0.15807,             0.00703,             0.00703,             0.00703
                  47,            0.026615,            0.084968,              0.1387,                   0,                   0,                   0,                   0,            0.027143,            0.088121,             0.15838,            0.006964,            0.006964,            0.006964
                  48,             0.02629,            0.081755,             0.13862,                   0,                   0,                   0,                   0,            0.028685,            0.084445,             0.15813,            0.006898,            0.006898,            0.006898
