               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025127,            0.083526,             0.14266,             0.14301,           0.0013514,           0.0011757,          0.00082297,             0.02697,            0.079755,             0.14666,            0.006535,            0.006535,            0.006535
                  37,            0.025651,            0.086551,              0.1422,             0.13202,           0.0036036,           0.0015276,           0.0012939,            0.026667,            0.079945,             0.14666,            0.006436,            0.006436,            0.006436
                  38,            0.025674,            0.085917,             0.14131,            0.003003,           0.0081081,           0.0038829,           0.0029643,            0.025346,            0.081925,             0.14667,            0.006337,            0.006337,            0.006337
                  39,            0.025747,             0.08642,             0.14189,           0.0028829,           0.0040541,           0.0024243,           0.0019395,            0.025866,            0.077768,             0.14674,            0.006238,            0.006238,            0.006238
                  40,             0.02569,            0.084759,             0.14256,             0.08416,           0.0027027,            0.002473,           0.0020739,            0.025277,            0.079226,              0.1468,            0.006139,            0.006139,            0.006139
                  41,            0.025503,            0.087198,             0.14069,             0.10986,           0.0027027,           0.0016441,          0.00098649,            0.027035,            0.080734,             0.14716,             0.00604,             0.00604,             0.00604
                  42,            0.025446,            0.083457,             0.14097,                   0,                   0,                   0,                   0,            0.026088,            0.081284,             0.14693,            0.005941,            0.005941,            0.005941
                  43,            0.025876,            0.084894,             0.14097,                   0,                   0,                   0,                   0,             0.02483,             0.07895,             0.14685,            0.005842,            0.005842,            0.005842
                  44,            0.026083,            0.084862,             0.14048,           0.0022523,           0.0067568,           0.0018514,           0.0013077,            0.025247,            0.078904,             0.14694,            0.005743,            0.005743,            0.005743
                  45,            0.025772,            0.085676,             0.14052,           0.0009009,           0.0013514,          0.00060721,          0.00054649,            0.027293,            0.083073,             0.14696,            0.005644,            0.005644,            0.005644
                  46,             0.02533,            0.084806,             0.14081,           0.0031532,           0.0040541,           0.0023604,            0.002023,            0.024548,            0.083008,             0.14705,            0.005545,            0.005545,            0.005545
                  47,            0.024506,            0.080417,             0.14013,                   0,                   0,                   0,                   0,            0.024359,            0.080667,             0.14711,            0.005446,            0.005446,            0.005446
                  48,            0.025037,            0.082652,             0.13982,                   0,                   0,                   0,                   0,             0.02514,            0.079997,             0.14735,            0.005347,            0.005347,            0.005347
                  49,            0.025819,            0.082715,             0.13922,           0.0013514,           0.0054054,           0.0013446,          0.00080676,            0.025695,            0.081044,             0.14744,            0.005248,            0.005248,            0.005248
                  50,            0.025614,             0.08301,              0.1402,                   0,                   0,                   0,                   0,             0.02444,            0.082533,             0.14731,            0.005149,            0.005149,            0.005149
                  51,            0.024078,            0.081929,             0.13988,                   0,                   0,                   0,                   0,            0.025218,            0.083185,             0.14759,             0.00505,             0.00505,             0.00505
